Specialty,Applicants,Posts,Ratio,Year
ACCS EM,534,203,2.6,2013
Anaesthetics,1189,478,2.5,2013
Broad-Based Training,429,52,8.3,2013
Cardiothoracic Surgery (Pilot),68,6,11.3,2013
Clinical Radiology,751,185,4.1,2013
Core Medical Training,3088,1209,2.6,2013
Core Psychiatry Training,650,437,1.5,2013
Core Surgical Training,1296,676,1.9,2013
General Practice,6447,2787,2.3,2013
Histopathology,154,120,1.3,2013
Medical Microbiology & Virology,108,21,5.1,2013
Neurosurgery,183,37,4.9,2013
Obstetrics and Gynaecology,591,204,2.9,2013
Ophthalmology,323,71,4.5,2013
Paediatrics,793,360,2.2,2013
Public Health,602,70,8.6,2013
ACCS EM,759,363,2.1,2014
Anaesthetics,1262,595,2.1,2014
Broad-Based Training,258,42,6.1,2014
Cardiothoracic Surgery (Pilot),72,7,10.3,2014
Clinical Radiology,798,227,3.5,2014
Community Sexual and Reproductive Health,33,7,4.7,2014
Core Medical Training,3065,1468,2.1,2014
Core Psychiatry Training,643,497,1.3,2014
Core Surgical Training,1370,625,2.2,2014
General Practice,5477,3391,1.6,2014
Histopathology,165,93,1.8,2014
Medical Microbiology,50,14,3.6,2014
Neurosurgery,159,24,6.6,2014
Obstetrics and Gynaecology,583,240,2.4,2014
Ophthalmology,353,82,4.3,2014
Oral and Maxillo Facial Surgery (Pilot),33,4,8.25,2014
Paediatrics,814,435,1.9,2014
Public Health,686,78,8.8,2014
ACCS EM,881,363,2.43,2015
Anaesthetics,1294,629,2.06,2015
Broad-Based Training,363,83,4.37,2015
Cardiothoracic Surgery,68,8,8.5,2015
Clinical Radiology,917,247,3.71,2015
Community Sexual and Reproductive Health,100,2,50,2015
Core Medical Training,2632,1550,1.7,2015
Core Psychiatry Training,662,466,1.42,2015
Core Surgical Training,1396,604,2.31,2015
General Practice,5112,3612,1.42,2015
Histopathology,189,79,2.39,2015
Neurosurgery,169,30,5.63,2015
Obstetrics and Gynaecology,599,238,2.52,2015
Ophthalmology,374,95,3.94,2015
Oral and Maxillo Facial Surgery,27,5,5.4,2015
Paediatrics,801,446,1.8,2015
Public Health,724,88,8.23,2015
ACCS EM,760,294,2.59,2016
Anaesthetics,1263,552,2.29,2016
Cardiothoracic Surgery,61,6,10.17,2016
Clinical Radiology,1074,212,5.07,2016
Community Sexual and Reproductive Health,121,5,24.2,2016
Core Medical Training,2516,1572,1.6,2016
Core Surgical Training,1622,558,2.91,2016
General Practice,4863,3790,1.28,2016
Histopathology,209,83,2.52,2016
Neurosurgery,169,25,6.76,2016
Obstetrics and Gynaecology,551,181,3.04,2016
Ophthalmology,436,90,4.84,2016
Oral and Maxillo Facial Surgery,19,5,3.8,2016
Paediatrics,708,411,1.72,2016
Public Health,738,69,10.7,2016
Core Psychiatry Training,745,490,1.52,2016
