"Monthly SitReps - Critical Care Data"

"Year:2016-17","Period Name:OCTOBER","Provider SHA Name:<All>","Provider Org Name:<All>"

"","F1 Adult critical care beds at midnight on the Thursday of the reporting period SUM",,"F2 Number of paediatric critical care beds SUM",,"F3 Number of neonatal critical care cots (or beds) SUM",
"","Available","Occupied","Available","Occupied","Available","Occupied"
"R1F",6,6,0,0,2,0
"R1H",103,98,7,5,57,50
"R1K",33,23,0,0,5,1
"RA2",25,25,0,0,5,2
"RA3",5,5,0,0,0,0
"RA4",10,9,0,0,0,0
"RA7",55,50,32,28,31,29
"RA9",8,5,2,0,0,0
"RAE",16,13,0,0,5,4
"RAJ",27,25,0,0,4,0
"RAL",85,67,0,0,6,4
"RAN",14,11,0,0,0,0
"RAP",10,10,0,0,7,4
"RAS",9,9,0,0,8,6
"RAX",12,6,0,0,7,4
"RBA",12,11,2,0,4,2
"RBD",8,6,0,0,2,0
"RBK",13,13,0,0,2,2
"RBL",17,11,0,0,7,4
"RBN",12,10,0,0,0,0
"RBQ",34,27,0,0,0,0
"RBS",0,0,40,37,0,0
"RBT",11,8,0,0,4,0
"RBV",8,2,0,0,0,0
"RBZ",6,4,1,0,8,1
"RC1",11,7,0,0,3,1
"RC9",17,12,2,1,20,20
"RCB",18,15,0,0,2,2
"RCD",8,5,0,0,0,0
"RCF",7,5,0,0,3,3
"RCU",0,0,6,6,2,1
"RCX",13,9,0,0,12,7
"RD1",13,8,1,1,7,5
"RD3",11,11,0,0,4,0
"RD8",9,8,0,0,6,4
"RDD",34,28,1,0,8,2
"RDE",13,11,2,0,5,3
"RDU",25,25,0,0,13,4
"RDZ",12,9,0,0,0,0
"RE9",6,4,0,0,0,0
"REF",15,10,4,1,7,4
"REM",23,23,0,0,0,0
"REP",2,2,0,0,44,34
"RET",20,17,0,0,0,0
"RF4",46,32,0,0,11,9
"RFF",11,7,0,0,2,0
"RFR",13,7,0,0,2,0
"RFS",15,9,0,0,3,1
"RGM",39,33,0,0,0,0
"RGN",13,8,0,0,1,1
"RGP",12,8,2,0,2,0
"RGQ",12,9,1,0,3,3
"RGR",9,8,0,0,12,12
"RGT",64,47,13,8,58,35
"RH8",18,12,4,0,12,7
"RHM",109,91,30,23,38,28
"RHQ",101,78,0,0,50,36
"RHU",19,13,0,0,14,11
"RHW",14,14,0,0,2,2
"RJ1",82,76,20,16,19,19
"RJ2",36,35,0,0,5,4
"RJ6",14,11,0,0,4,1
"RJ7",57,51,10,8,39,31
"RJC",7,4,0,0,0,0
"RJE",80,70,8,7,12,7
"RJF",10,3,0,0,3,0
"RJL",22,15,0,0,5,0
"RJN",6,4,0,0,1,1
"RJR",15,6,0,0,0,0
"RJZ",96,89,12,12,35,34
"RK5",12,10,2,1,10,0
"RK9",42,28,0,0,7,2
"RKB",39,36,6,3,27,25
"RKE",15,11,0,0,23,15
"RL1",4,3,0,0,0,0
"RL4",28,14,0,0,14,13
"RLN",18,15,0,0,8,7
"RLQ",6,5,0,0,1,0
"RLT",8,4,0,0,0,0
"RLU",0,0,0,0,12,5
"RM1",24,14,4,0,15,10
"RM2",43,42,0,0,2,0
"RM3",45,41,0,0,0,0
"RMC",18,16,0,0,17,13
"RMP",6,6,0,0,3,0
"RN3",12,11,0,0,8,6
"RN5",23,16,0,0,4,0
"RN7",10,9,0,0,0,0
"RNA",20,18,0,0,18,12
"RNL",15,9,0,0,0,0
"RNQ",12,11,0,0,4,1
"RNS",16,10,0,0,2,2
"RNZ",10,10,0,0,4,1
"RP4",0,0,44,38,0,0
"RP5",25,21,0,0,6,1
"RPA",29,28,4,1,8,7
"RPC",3,2,0,0,0,0
"RPY",16,12,0,0,0,0
"RQ3",0,0,30,29,0,0
"RQ6",35,30,0,0,0,0
"RQ8",22,15,0,0,6,2
"RQM",19,14,0,0,42,39
"RQQ",9,5,0,0,0,0
"RQW",10,9,0,0,6,3
"RQX",9,8,0,0,20,20
"RR1",33,30,0,0,6,5
"RR7",12,12,0,0,0,0
"RR8",104,76,16,10,40,18
"RRF",11,8,0,0,1,0
"RRJ",8,8,0,0,0,0
"RRK",68,68,0,0,0,0
"RRV",60,60,0,0,32,29
"RT3",103,77,24,19,0,0
"RTD",89,66,28,21,12,7
"RTE",22,18,4,4,12,8
"RTF",28,17,0,0,0,0
"RTG",48,28,4,0,8,7
"RTH",54,53,14,14,44,38
"RTK",13,12,0,0,8,2
"RTP",16,16,0,0,16,15
"RTR",67,56,3,1,8,7
"RTX",14,12,0,0,2,0
"RVJ",39,30,0,0,33,28
"RVR",21,17,0,0,5,5
"RVV",27,24,0,0,7,3
"RVW",16,7,0,0,4,4
"RVY",11,9,1,1,2,1
"RW3",60,55,28,23,38,27
"RW6",34,31,0,0,11,6
"RWA",50,34,0,0,5,5
"RWD",31,26,0,0,2,0
"RWE",80,64,19,14,40,40
"RWF",16,11,0,0,0,0
"RWG",18,17,0,0,3,3
"RWH",20,19,0,0,7,3
"RWJ",13,9,0,0,4,2
"RWP",26,18,0,0,6,4
"RWW",18,16,0,0,3,1
"RWY",13,9,0,0,6,1
"RX1",103,84,8,3,24,18
"RXC",19,16,0,0,0,0
"RXF",25,16,3,0,7,1
"RXH",52,44,10,10,19,16
"RXK",16,14,0,0,10,10
"RXL",34,27,0,0,6,0
"RXN",28,23,0,0,8,8
"RXP",20,18,0,0,0,0
"RXQ",20,12,0,0,10,10
"RXR",24,24,0,0,8,3
"RXW",19,17,0,0,6,3
"RYJ",115,109,8,7,25,20
"RYR",22,18,0,0,30,14
"RYV",0,0,1,0,2,0
"ENGLAND",4059,3321,461,352,1420,1001
