OrganisationID,OrganisationCode,OrganisationType,SubType,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude
17936,NAA,Trust,Independent,Visible,FALSE,Sk Health Ltd,Suite 5-6,,,,,,,
17948,NAM,Trust,Independent,Visible,TRUE,Probus Surgery Limited,Probus Surgical Centre,Tregony Road,Probus,Truro,Cornwall,TR2 4JZ,50.29006577,-4.94862318
17950,NCC,Trust,Independent,Visible,FALSE,Primary Provider Company Limited,1 Carter Knowle Road,,,Sheffield,South Yorkshire,S7 2DW,53.35342026,-1.488714337
17952,NCL,Trust,Independent,Visible,TRUE,Express Diagnostics,6 Research Way,Tamar Science Park,Derriford,Plymouth,Devon,PL6 8BU,50.41687393,-4.109947681
17954,NCR,Trust,Independent,Visible,TRUE,Isight,Drayton House,2 Lulworth Road,,Southport,,PR8 2AT,53.63968658,-3.017776966
17961,NCW,Trust,Independent,Visible,FALSE,Sutton Medical Consulting Centre,Ashfurlong Health Centre,233 Tamworth Road,,Sutton Coldfield,West Midlands,B75 6DX,52.57735825,-1.806673646
17963,NDA,Trust,MentalHealth,Visible,TRUE,Virgin Care Services Ltd,Lynton House,7-12 Tavistock Square,,London,,WC1H 9LT,51.52539063,-0.128226191
18018,NDJ,Trust,Independent,Visible,TRUE,First Community Health and Care Cic,2nd Floor,,,,,,,
18036,NJJ,Trust,Independent,Visible,TRUE,Psicon Limited,70 New Dover Road,,,Canterbury,Kent,CT1 3EQ,51.26891708,1.094523311
18038,NL4,Trust,Independent,Visible,TRUE,Huddersfield Medical Services Ltd,Oaklands Health Centre,Huddersfield Road,Holmfirth,Huddersfield,West Yorkshire,HD9 3TP,53.57711792,-1.784267545
18041,NL8,Trust,Independent,Visible,TRUE,Locala Community Partnerships,Beckside Court,286 Bradford Road,,Batley,West Yorkshire,WF17 5PW,53.71092606,-1.626761794
18081,NLL,Trust,Independent,Visible,TRUE,Peninsula Community Health C.I.C,Sedgemoor Centre,Priory Road,,St. Austell,Cornwall,PL25 5AS,50.33974457,-4.794686317
18100,NLT,Trust,Independent,Visible,TRUE,North Somerset Community Partnership Community Interest Company,Castlewood,Tickenham Road,,Clevedon,Avon,BS21 9AX,51.44009781,-2.857499361
18120,NLW,Trust,Independent,Visible,TRUE,Bristol Community Health,South Plaza,Marlborough Street,,Bristol,Avon,BS1 3NX,51.45999146,-2.591673136
18122,NLY,Trust,Independent,Visible,TRUE,SEQOL,SEQOL HQ (SEQOL is a trading name of Care and Support Partnership),#NAME?,Thamesdown Drive,Swindon,Wiltshire,SN25 4AN,51.59700775,-1.807307005
18131,NMG,Trust,Independent,Visible,TRUE,Connect Physical Health,Floor 2,,,,,,,
18133,NMJ,Trust,MentalHealth,Visible,TRUE,Cygnet Health Care Limited,Cygnet Hospital,Godden Green,,Sevenoaks,Kent,TN15 0JR,51.27159882,0.23007901
18134,NMM,Trust,Independent,Visible,TRUE,Hospital Of St John and St Elizabeth,60 Grove End Road,,,London,Greater London,NW8 9NH,51.53347397,-0.175461009
18136,NMN,Trust,Independent,Visible,FALSE,Peninsula Health Llp,Candy Park,Old Hall Road,,Wirral,Merseyside,CH62 3PE,53.33035278,-2.972556829
18137,NMP,Trust,Independent,Visible,FALSE,Bridgewater Hospital (Manchester) Ltd,120 Princess Road,,,Manchester,Greater Manchester,M15 5AT,53.45975494,-2.245453835
18139,NMQ,Trust,Independent,Visible,FALSE,Making Space,46 Allen Street,,,Warrington,Cheshire,WA2 7JB,53.39194489,-2.59697485
18140,NMT,Trust,Independent,Visible,FALSE,The Charlotte Straker Hospital Project Trust,Cookson Close,,,Corbridge,Northumberland,NE45 5HB,54.97702789,-2.019889593
18141,NMV,Trust,MentalHealth,Visible,TRUE,Partnerships In Care Ltd,Unit 2 Imperial Place,Maxwell Road,,Borehamwood,Hertfordshire,WD6 1JN,51.65820313,-0.267858297
